PWY0-1465	1.1.1.83	D-malate dehydrogenase (decarboxylating)
PWY-6199	2.8.2.25	quercetin 3-sulfotransferase
PWY-7464	2.3.1.-	cyanidin 7-<i>O</i>-glucoside acyltransferase(acyl-glucose dependent)
PWY-6572	3.2.1.179	3-(4-deoxy-&beta;-D-gluc-4-enuronosyl)-<i>N</i>-acetyl-D-glucosamine hydrolase
PWY-1901	1.21.3.6	tetrahydroxychalcone 4'-<i>O</i>-glucoside:oxygen oxidoreductase
PWY-7463	2.4.1.-	UDP-glucose: N-methylanthranilate glucosyltransferase
PWY-7476	2.4.1.-	UDP-glucose: N-methylanthranilate glucosyltransferase
PWY-7467	2.6.1.-	UDP-acetamido-4-amino-6-deoxygalactopyranose transaminase
PWY-7467	2.7.8.-	UDP-acetamido-4-amino-6-deoxygalactopyranose transferase
PWY-7464	2.3.1.-	cyanidin 7-<i>O</i>-(6-<i>O</i>-(4-<i>O</i>-(glucosyl)-oxybenzoyl)-glucoside) acyltransferase (acyl-glucose dependent)
PWY-7465	2.3.1.-	acyl-CoA:3-sulfinopropionate CoA-transferase
PWY-6737	2.4.1.1	maltodextrin phosphorylase
PWY-6731	2.4.1.1	maltodextrin phosphorylase
PWY-6771	4.2.2.23	rhamnogalacturonan endolyase
PWY-6769	4.2.2.23	rhamnogalacturonan endolyase
PWY-3581	2.1.1.140	S-adenosyl-L-methionine: coclaurine N-methyltransferase
PWY-6769	3.2.1.173	rhamnogalacturonan galacturonohydrolase
PWY-6771	3.2.1.172	unsaturated rhamnogalacturonyl hydrolase
PWY-6572	3.2.1.179	unsaturated chondroitin disaccharide hydrolase
PWY-6769	3.2.1.174	rhamnogalacturonan rhamnohydrolase
PWY-1962	6.3.-.-	indole-3-acetyl-aspartate synthetase
PWY-5797	6.3.-.-	indole-3-acetyl-aspartate synthetase
PWY-6219	6.3.-.-	indole-3-acetyl-aspartate synthetase
PWY-5811	6.3.-.-	indole-3-acetyl-aspartate synthetase
PWY-2021	6.3.-.-	indole-3-acetyl-aspartate synthetase
PWY-5784	6.3.-.-	indole-3-acetyl-aspartate synthetase
PWY-1981	6.3.-.-	indole-3-acetyl-aspartate synthetase
PWY-6219	6.3.-.-	indole-3-acetyl-glutamate synthetase
PWY-5784	6.3.-.-	indole-3-acetyl-glutamate synthetase
PWY-7431	1.4.99.-	tyramine dehydrogenase
PWY-6219	6.3.-.-	indole-3-acetyl-leucine synthetase
PWY-6420	1.3.3.11	pyrroloquinoline-quinone synthase
PYRIDNUCSAL-PWY	6.3.4.21	nicotinate phosphoribosyltransferase
PWY-5381	6.3.4.21	nicotinate phosphoribosyltransferase
PWY-3385	3.1.3.75	phosphocholine phosphatase
P421-PWY	1.2.1.29	4-nitrobenzaldehyde dehydrogenase (NAD<sup>+</sup>-linked)
PWY-6421	1.20.4.3	mycothiol-arsenate conjugate:mycoredoxin mycothiolyl transferase
PWY-2083	1.14.13.136	naringenin,NADPH:oxygen oxidoreductase
PWY-7241	1.1.1.-	2-inosose 4-dehydrogenase
PWY-2902	2.4.1.-	dihydrozeatin-9-<i>N</i>-glucoside O-&beta;-D-glucosyltransferase
PWY-2881	2.4.1.-	<i>trans</i>-zeatin-<i>O</i>-glucoside UDP glycosyltransferase
PWY-2902	2.4.1.215	UDP-glucose:cis-zeatin O-&beta;-D-glucosyltransferase
PWY-2901	2.4.1.-	<i>cis</i>-zeatin UDP glycosyltransferase
PWY-2881	2.4.1.-	UDP-glucose:cis-zeatin 7-N-glucosyltransferase
PWY-2901	2.4.1.-	kinetin UDP glycosyltransferase
PWY-2881	2.4.1.-	UDP-glucose:kinetin 7-N-glucosyltransferase
PWY-2901	2.4.1.-	benzyladenine UDP glycosyltransferase
PWY-762	1.14.19.-	1-18:2-2-trans-16:1-phosphatidylglycerol desaturase
PWY-6328	2.6.1.-	cadaverine aminotransferase
PWY-6328	1.5.1.-	1-piperideine dehydrogenase
PWY-7135	4.3.3.3	deacetylisoipecoside synthase
PWY0-321	2.3.1.223	3-oxo-5,6-dehydrosuberyl-CoA thiolase
PWY0-41	1.1.1.154	ureidoglycolate dehydrogenase
PWY-6593	6.2.1.-	sulfoacetate-CoA ligase
PWY-5747	2.3.3.5	2-methylcitrate synthase
PWY0-42	2.3.3.5	2-methylcitrate synthase
PWY-6014	1.14.13.-	&Delta;<sup>12</sup>-linoleate epoxygenase
PWY-6014	1.11.-.-	linoleate epoxygenase (peroxygenase)
PWY-7352	2.4.1.-	dTDP-daunosamine transferase
PWY-7352	1.14.13.180	aklavinone 12-hydroxylase
PWY-6593	1.2.1.81	acylating sulfoacetaldehyde dehydrogenase
PWY-7352	1.14.13.181	13-deoxydaunorubicin C-13 hydroxylase
PWY5F9-3233	1.14.12.-	phthalate 3,4-dioxygenase
PWY66-373	4.1.2.13	fructose-bisphosphate aldolase
PWY-5514	2.3.1.4	glucosamine-6-phosphate acetyltransferase
UDPNACETYLGALSYN-PWY	2.3.1.4	glucosamine-6-phosphate acetyltransferase
PWY-5461	1.11.1.7	betanidin peroxidase
PWY-5287	|1.3.1.z|	chelirubine reductase
GLYCOLYSIS	5.4.2.11	phosphoglycerate mutase
PWY-5484	5.4.2.11	phosphoglycerate mutase
PWY66-399	5.4.2.11	phosphoglycerate mutase
PWY66-400	5.4.2.11	phosphoglycerate mutase
P122-PWY	5.4.2.11	phosphoglycerate mutase
PWY-1622	5.4.2.11	phosphoglycerate mutase
ANAGLYCOLYSIS-PWY	5.4.2.11	phosphoglycerate mutase
PWY-7179	3.5.4.4	deoxyadenosine deaminase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.131	(mannosyl)<sub>3</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol:GDP-mannose &alpha;-1,2-mannosyltransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.258	Dol-P-Man:Man<sub>5</sub>GlcNAc<sub>2</sub>-PP-Dol mannosyltransferase
TRPSYN-PWY	5.3.1.24	phosphoribosylanthranilate isomerase
PWY3O-4108	2.6.1.57	tyrosine aminotransferase
TYRSYN	2.6.1.57	tyrosine aminotransferase
PWY-3581	2.6.1.57	tyrosine aminotransferase
PWY-5886	2.6.1.57	tyrosine aminotransferase
PWY-5048	2.6.1.57	tyrosine aminotransferase
TYRFUMCAT-PWY	2.6.1.57	tyrosine aminotransferase
PWY-5151	2.6.1.57	tyrosine aminotransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.132	GDP-Man:Man-GlcNAc<sub>2</sub>-PP-dolichol &alpha;-1,3-mannosyltransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.257	GDP-Man:Man<sub>2</sub>GlcNAc<sub>2</sub>-PP-dolichol &alpha;-1,6-mannosyltransferase
PWY-6030	4.1.1.28	5-hydroxy-L-tryptophan decarboxylase
PWY-7376	2.1.1.152	precorrin-5 (<i>C</i><sup>1</sup>)-methyltransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.260	&alpha;-1,6-mannosyltransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.261	(mannosyl)<sub>8</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol:dolichyl &beta;-D-mannosyl phosphate mannosyl transferase
PWY-6766	1.1.1.90	benzyl alcohol dehydrogenase
PWY-6763	1.1.1.90	benzyl alcohol dehydrogenase
TOLUENE-DEG-CATECHOL-PWY	1.1.1.90	benzyl alcohol dehydrogenase
PWY3DJ-11470	1.3.1.27	2-alkenal reductase
LEU-DEG2-PWY	4.2.1.18	3-methylglutaconyl-CoA hydratase
HISTSYN-PWY	2.6.1.9	histidinol-phosphate aminotransferase
PWY-5913	1.4.1.4	glutamate dehydrogenase
PWY-5675	1.4.1.4	glutamate dehydrogenase
PWY490-3	1.4.1.4	glutamate dehydrogenase
GLUTSYNIII-PWY	1.4.1.4	glutamate dehydrogenase
PWY-5972	2.3.1.-	palmitoyl elongase
PWY-6124	4.1.1.21	phosphoribosylaminoimidazole carboxylase
NAGLIPASYN-PWY	2.3.1.129	UDP-N-acetylglucosamine acyltransferase
PWY-7317	1.1.1.266	dTDP-4-dehydro-6-deoxyglucose reductase
PWY-6698	4.1.1.2	oxalate decarboxylase
PWY-2321	2.1.1.46	isoflavone-4'-O-methyltransferase
PWY-6816	3.2.1.159	neoagaro-oligosaccharide 1,3-&alpha;-3,6-anhydro-L-galactosidase
AEROBACTINSYN-PWY	2.3.1.102	<i>N<sup>6</sup></i>-hydroxylysine <i>O</i>-acetyltransferase
PWY-702	2.7.1.39	homoserine kinase
HOMOSER-THRESYN-PWY	2.7.1.39	homoserine kinase
PWY-2201	1.5.7.1	methylene tetrahydrofolate reductase
CODH-PWY	1.5.7.1	methylene tetrahydrofolate reductase
PWY-3301	2.3.1.92	sinapoylglucose:malate <i>O</i>-sinapoyltransferase
PWY-6352	2.7.1.154	phosphatidylinositol-4-phosphate 3-kinase
PWY-743	3.5.5.8	thiocyanate hydrolase
PWY-3661	1.5.8.4	dimethylglycine dehydrogenase
PWY-6567	2.8.2.33	[chondroitin]-<i>N</i>-acetylgalactosamine 4-sulfate 6-<i>O</i>-sulfotransferase
P3-PWY	2.8.3.-	acetate CoA-transferase
TRPSYN-PWY	4.1.2.8	indoleglycerol phosphate aldolase
PWY-6949	4.1.2.8	indoleglycerol phosphate aldolase
PWY-6190	5.5.1.7	3,5-dichloro-2-methyl-muconate dehalogenase
PWY-6190	4.5.1.-	3,5-dichloro-2-methyl-muconolactone dehalogenase
PWY-6405	3.1.3.13	bisphosphoglycerate 2-phosphatase
PWY-2421	1.1.-.-	isatine reductase
PWY-6509	1.1.99.37	methanol:N,N-dimethyl-4-nitrosoaniline oxidoreductase
PWY-6466	4.3.3.6	pyridoxal 5'-phosphate synthase
PWY-6465	1.14.13.-	caprate dehydroxylase
PWY-6468	1.14.13.-	laurate monooxygenase
PWY-6465	1.14.13.-	laurate monooxygenase
PWY-6467	2.4.99.15	KDO<sub>3</sub>-lipid IV<sub>A</sub> (2-4) 3-deoxy-D-manno-octulosonate  transferase
PWY-6467	2.4.99.15	KDO<sub>2</sub>-lipid IV<sub>A</sub> (2-4) 3-deoxy-D-manno-octulosonate  transferase
PWY-7472	5.1.2.-	carnitine racemase
PWY-7498	2.1.1.-	caffeoylglucose 3-<i>O</i>-methyltransferase
PWY-5789	6.2.1.40	4-hydroxybutyryl-CoA synthetase
PWY-7288	1.1.1.-	3-hydroxyacyl-CoA dehydrogenase
PWY66-391	1.1.1.-	3-hydroxyacyl-CoA dehydrogenase
GAMMAHEXCHLORDEG-PWY	1.1.1.-	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
PWY-7297	1.14.17.-	tyramine &beta;-monooxygenase
PWY-1722	6.3.4.3	formate--tetrahydrofolate ligase
PWY-2201	6.3.4.3	formate--tetrahydrofolate ligase
CODH-PWY	6.3.4.3	formate--tetrahydrofolate ligase
PWY-3841	6.3.4.3	formate--tetrahydrofolate ligase
PWY-2161	6.3.4.3	formate--tetrahydrofolate ligase
PWY-7294	1.1.1.359	xylose dehydrogenase
PWY-7295	1.2.1.-	Glycolaldehyde oxidoreductase
PWY-7294	1.2.1.-	Glycolaldehyde oxidoreductase
PWY-4922	2.1.1.108	6-hydroxymellein-O-methyltransferase
PWY-7387	1.2.1.3	acetaldehyde dehydrogenase (NAD<small><sup>+</sup></small>)
PWY66-162	1.2.1.3	acetaldehyde dehydrogenase (NAD<small><sup>+</sup></small>)
PWY66-161	1.2.1.3	acetaldehyde dehydrogenase (NAD<small><sup>+</sup></small>)
PWY66-21	1.2.1.3	acetaldehyde dehydrogenase (NAD<small><sup>+</sup></small>)
PWY-5425	4.2.3.58	longifolene synthase
PWY-5425	4.2.3.56	&gamma;-humulene synthase
PWY-5922	3.1.1.83	(3S,6R)-6-isopropenyl-3-methyloxepan-2-one hydrolase
PWY-7383	2.6.1.2	glutamate-pyruvate aminotransferase
ALACAT2-PWY	2.6.1.2	glutamate-pyruvate aminotransferase
PWY-7117	2.6.1.2	glutamate-pyruvate aminotransferase
PWY-7115	2.6.1.2	glutamate-pyruvate aminotransferase
ALANINE-DEG3-PWY	2.6.1.2	glutamate-pyruvate aminotransferase
ALANINE-SYN2-PWY	2.6.1.2	glutamate-pyruvate aminotransferase
PWY-5922	1.1.1.296	(+)-isodihydrocarveol dehydrogenase
PWY-5922	1.1.1.296	(1S,2S,4R)-iso-dihydrocarveol dehydrogenase
PWY-7308	4.2.1.84	acrylonitrile hydratase
PWY-5927	1.14.13.105	(-)-dihydrocarvone monooxygenase
PWY-5927	1.1.1.296	(1S,2R,4S)-neo-dihydrocarveol dehydrogenase
PWY-5691	1.7.3.3	factor-independent urate hydroxylase
METHANOGENESIS-PWY	1.2.99.5	formylmethanofuran dehydrogenase
PWY-5209	1.2.99.5	formylmethanofuran dehydrogenase
PWY-2	1.2.1.19	&gamma;-aminobutyraldehyde dehydrogenase
PWY-3	1.2.1.19	&gamma;-aminobutyraldehyde dehydrogenase
PUTDEG-PWY	1.2.1.19	&gamma;-aminobutyraldehyde dehydrogenase
PWY66-366	2.7.7.2	FMN adenylyltransferase
PWY-6168	2.7.7.2	FMN adenylyltransferase
PWY-6167	2.7.7.2	FMN adenylyltransferase
RIBOSYN2-PWY	2.7.7.2	FMN adenylyltransferase
PWY-782	1.14.19.-	1-18:2-2-18:3-digalactosyldiacylglycerol desaturase
PWY-6986	4.2.2.3	alginate lyase
PWY-6984	2.3.1.200	lipoyl-[GcvH]:protein <i>N</i>-lipoyltamidoransferase
PWY-6984	3.5.1.-	lipoamidase
PWY-5287	1.14.21.1	(S)-stylopine synthase
PWY-6987	2.3.1.181	octanoyl transferase
FASYN-ELONG-PWY	1.3.1.39	2,3,4-saturated-fatty-acid-[acp] reductase
PWY-6984	2.7.7.63	lipoate&mdash;protein ligase
PWY-5176	3.2.1.21	coumarinic acid glucoside &beta;-glucosidase
PWY0-1241	2.7.7.70	heptose 1-phosphate adenyltransferase
PWY0-1241	2.7.1.167	heptose 7-phosphate kinase
PWY-6566	2.4.1.226	chondroitin sulfate 3-&beta;-glucuronosyltransferase
PWYG-321	4.2.1.59	a  cis-delta5-3-hydroxyC24:1-[acyl-carrier protein] d
PWYG-321	2.3.1.41	beta-keto-acyl synthase homolog
PWY-3982	3.5.2.2	5,6-dihydrouracil dihydropyrimidinase
PWY-7351	1.5.1.26	&beta;-alanopine synthase
PWY-7378	1.1.1.103	threonine dehydrogenase
THREONINE-DEG2-PWY	1.1.1.103	threonine dehydrogenase
THRDLCTCAT-PWY	1.1.1.103	threonine dehydrogenase
PWY-7385	1.1.1.-	1,3-propanediol dehydrogenase
PWY-782	1.14.99.-	1-18:3-2-18:2-monogalactosyldiacylglycerol desaturase
P181-PWY	1.5.99.4	nicotine dehydrogenase
PWY-7430	1.13.11.17	indole 2,3-dioxygenase
PWY-7072	5.4.99.17	squalene-hopene cyclase
PWY-6098	5.4.99.17	squalene-hopene cyclase
PWY-782	1.14.19.-	1-18:3-2-18:2-digalactosyldiacylglycerol desaturase
PWY-5087	4.2.1.34	citramalate hydrolyase
1CMET2-PWY	2.1.1.13	methionine synthase
HOMOSER-METSYN-PWY	2.1.1.13	methionine synthase
ADENOSYLHOMOCYSCAT-PWY	2.1.1.13	methionine synthase
PWY-2201	2.1.1.13	methionine synthase
PWY-3841	2.1.1.13	methionine synthase
HSERMETANA-PWY	2.1.1.13	methionine synthase
PWY-6316	2.3.1.-	p-coumaroyltriacetic acid lactone synthase
PWY-782	1.14.19.-	1-18:2-2-18:2-digalactosyldiacylglycerol desaturase
PWY-5946	5.5.1.18	trans-lycopene &epsilon;-cyclase
PWY-782	1.14.19.-	1-18:1-2-16:0-digalactosyldiacylglycerol desaturase
PWY-7117	2.6.1.2	alanine transaminase
PWY-7115	2.6.1.2	alanine transaminase
PWY-7117	2.6.1.1	aspartate aminotransferase
PWY-7115	2.6.1.1	aspartate aminotransferase
PWY-7114	3.2.1.149	benzyl 6-<i>O</i>-&beta;-<i>D</i>-apiofuranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Assam)
PWY-7114	3.2.1.149	eugenyl 6-<i>O</i>-&beta;-<i>D</i>-xylopyranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Shuixian)
PWY-7114	3.2.1.149	2-phenylethyl 6-<i>O</i>-&beta;-<i>D</i>-xylopyranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Yabukita)
PWY-7114	3.2.1.149	benzyl alcohol 6-<i>O</i>-&beta;-<i>D</i>-xylopyranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Assam)
PWY-7114	3.2.1.149	linalyl 6-<i>O</i>-&beta;-<i>D</i>-xylopyranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Assam)
PWY-7114	3.2.1.149	geranyl 6-<i>O</i>-&beta;-<i>D</i>-xylopyranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Shuixian)
PWY-782	1.14.19.-	1-16:0-2-18:2-digalactosyldiacylglycerol desaturase
PWY-1263	2.6.1.77	taurine&mdash;pyruvate aminotransferase
PWY-5290	2.1.1.50	loganic acid O-methyltransferase
PWY-6232	2.1.1.42	luteolin 3'-<i>O-</i>methyltransferase
PWY-7019	4.3.2.6	&gamma;-L-glutamyl-butirosin B &gamma;-glutamyl cyclotransferase
PWY-7371	3.2.2.30	6-amino-6-deoxyfutalosine hydrolase
PWY-6894	2.5.1.3	thiamine phosphate synthase
PWY-6899	3.5.1.-	formylaminopyrimidine deformylase
PWY-7374	4.2.1.151	chorismate dehydratase
PWY-7371	4.2.1.151	chorismate dehydratase
PWY-7019	6.2.1.39	[BtrI acyl-carrier protein]--L-glutamate ligase
PWY-7018	2.6.1.-	glutamate--6'-oxoparomomycin aminotransferase
PWY-7018	1.1.3.-	6'''-hydroxyparomomycin oxidase
PWY-7018	3.5.1.-	2'''-acetyl-6'''-hydroxyparomomycin deacetylase
PWY-7019	2.3.2.19	ribostamycin:(<i>S</i>)-2-hydroxy-4-glutamyl-4-aminobutanoyl-[BtrI acyl-carrier protein] (<i>S</i>)-2-hydroxy-4-glutamyl-4-aminobutanoate transferase
PWY-6728	5.4.99.1	glutamate mutase
PWY-5103	5.4.99.1	glutamate mutase
PWY-5087	5.4.99.1	glutamate mutase
PWY-7019	6.2.1.39	4-amino butanoyl-[BtrI acyl-carrier protein]--L-glutamate ligase
PWY-7019	4.1.1.95	L-glutamyl-[BtrI acyl-carrier protein] decarboxylase
PWY-6784	3.1.1.73	4-hydroxy-3-methoxycinnamoyl-sugar hydrolase
PWY-6713	4.1.2.53	2-keto-3-deoxy-L-rhamnonate aldolase
PWY-6510	1.1.1.244	methanol dehydrogenase
PWY-7498	2.1.1.68	caffeate 3-<i>O</i>-methyltransferase
PWY-7186	2.1.1.68	caffeate 3-<i>O</i>-methyltransferase
PWY-1121	2.1.1.68	caffeate 3-<i>O</i>-methyltransferase
PWY-2181	2.1.1.68	caffeate 3-<i>O</i>-methyltransferase
PWY-5105	2.1.1.-	eriodictyol 4'-<i>O-</i>methyltransferase
PWY-5105	2.4.1.185	UDP-glucose:hesperitin-7-O-&beta;-D-glucosyltransferase
PWY-7256	2.4.1.299	cyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
PWY-2083	1.14.13.86	apigenin,NADPH:oxygen oxidoreductase
PWY-7449	2.4.1.294	cyanidin 3-<i>O</i>-galactosyltransferase
PWY-6919	4.2.3.7	pentalenene synthase
PWY-6915	4.2.3.7	pentalenene synthase
PWY-7449	2.3.1.213	cyanidin 3-<i>O</i>-(6-<i>O</i>-glucosyl-2-<i>O</i>-xylosylgalactoside) 6'''-<i>O</i>-4-hydroxycinnamoyltransferase
PWY-4002	2.6.1.14	asparagine aminotransferase
PWY0-662	2.7.6.1	ribose-phosphate diphosphokinase
PWY-6713	1.2.1.22	lactaldehyde dehydrogenase
PWY-5458	1.2.1.22	lactaldehyde dehydrogenase
PWY-5197	1.2.1.22	lactaldehyde dehydrogenase
PWY0-1317	1.2.1.22	lactaldehyde dehydrogenase
PWY-6352	2.7.1.153	phosphatidylinositol-4,5-bisphosphate 3-kinase
PWY-5940	2.7.1.65	ATP:inosamime phosphotransferase
PWY-5658	2.4.1.269	mannosylglycerate synthase
PWY-4381	2.3.1.180	&beta;-ketoacyl-ACP synthase
PWY-7433	2.4.1.122	glycoprotein-<em>N</em>-acetylgalactosamine 3-&beta;-galactosyltransferase
LIPA-CORESYN-PWY	2.4.-.-	Lipid A-core heptosyl transferase
PWY-3961	1.1.1.358	oxopantoyl lactone reductase
PWY-6550	1.14.12.22	carbazole 1,9a-dioxygenase
PWY-2541	2.1.1.143	sterol 24C methyltransferase
GALLATE-DEGRADATION-II-PWY	1.13.11.57	gallate dioxygenase
P2-PWY	2.7.7.61	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
P481-PWY	1.14.13.-	5-hydroxyadamantan-2-one monooxygenase
PWY-5835	2.3.1.84	geraniol acetyl CoA acetyltransferase
PWY4LZ-257	2.3.1.54	pyruvate formate-lyase
PWY-5493	2.3.1.54	pyruvate formate-lyase
FERMENTATION-PWY	2.3.1.54	pyruvate formate-lyase
PWY-5485	2.3.1.54	pyruvate formate-lyase
PWY-5480	2.3.1.54	pyruvate formate-lyase
ANARESP1-PWY	2.3.1.54	pyruvate formate-lyase
PWY-6455	3.4.13.22	D-Ala-D-Ala dipeptidase
PWY-6454	3.4.13.22	D-Ala-D-Ala dipeptidase
PWYG-321	2.3.1.-	cerotoyl-[acp] Synthase
FASYN-ELONG-PWY	2.3.1.86	&beta;-ketoacyl-ACP synthase
PWY-7040	1.4.3.-	L-tryptophan oxidase
PWY-6345	1.4.3.-	L-tryptophan oxidase
PWY-6346	1.4.3.-	L-tryptophan oxidase
PWY0-1544	1.5.5.2	proline dehydrogenase
PWY-5381	3.2.2.-	nicotinamide ribose nucleosidase
PWY-5381	2.7.1.173	nicotinate riboside kinase
PWY-5791	2.2.1.9	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
PWY-5837	2.2.1.9	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
PWY-2501	1.13.11.-	fatty acid &alpha;-dioxygenase
PWY-7456	5.1.3.11	mannobiose 2-epimerase
PWYG-321	2.1.1.-	trans-methoxy-C60-meroacyl-[acp] synthase
PWYG-321	2.1.1.-	cis-methoxy-C59-meroacyl-[acp] synthase
PWY-7457	1.8.5.-	sulfite dehydrogenase
PWY-6713	1.2.1.-	NADP<sup>+</sup>L-lactaldehyde dehydrogenase
PWY-6422	1.4.1.-	L-arginine dehydrogenase
PWY-7084	1.7.2.5	nitric-oxide reductase
DENITRIFICATION-PWY	1.7.2.5	nitric-oxide reductase
GLUCONSUPER-PWY	2.7.1.12	D-gluconate kinase
IDNCAT-PWY	2.7.1.12	D-gluconate kinase
PWY-5530	2.7.1.12	D-gluconate kinase
PWY-6812	3.2.1.150	oligoxyloglucan reducing-end-specific cellobiohydrolase
PWY-7111	4.2.1.9	2,3-dihydroxy-isovalerate dehydratase
VALSYN-PWY	4.2.1.9	2,3-dihydroxy-isovalerate dehydratase
PWY4FS-11	5.1.3.-	GDP-D-mannose-5''-epimerase
PWY-5115	5.1.3.-	GDP-D-mannose-5''-epimerase
PWY-6322	2.7.8.23	carboxyphosphinopyruvate decarboxylase
PWY-6322	1.13.11.72	hydroxyethylphosphonate dioxygenase
PWY-6322	2.7.8.23	carboxyphosphonoenolpyruvate phosphonomutase
PWY-6318	2.3.1.192	phenylacetyl-coenzyme A:glycine <i>N</i>-acyltransferase
PWY-6321	2.6.1.-	homotaurine:2-oxoglutarate aminotransferase
PWY-7377	2.1.1.195	cobalt-precorrin-5B (<i>C<sup>1</sup></i>)-methyltransferase
PWY-7352	1.14.13.181	13-dihydrodaunorubicin C-13 oxidoreductase
PWY-7352	2.1.1.288	aklanoate methyltransferase
PWY-7354	2.1.1.288	aklanoate methyltransferase
PWY-7476	2.4.1.-	UDP-glucose: benzoate glucosyltransferase
PWY-7468	2.4.1.-	UDP-glucose: benzoate glucosyltransferase
PWY-5787	1.10.3.-	L2 laccase
PWY-5789	1.1.1.35	hydroxybutyryl-coA dehydrogenase
PWY-7401	1.1.1.35	hydroxybutyryl-coA dehydrogenase
PWY-5177	1.1.1.35	hydroxybutyryl-coA dehydrogenase
PWY-7216	1.1.1.35	hydroxybutyryl-coA dehydrogenase
PWY-6883	1.1.1.35	hydroxybutyryl-coA dehydrogenase
PWY-6863	1.1.1.35	hydroxybutyryl-coA dehydrogenase
CENTFERM-PWY	1.1.1.35	hydroxybutyryl-coA dehydrogenase
PWY-6583	1.1.1.35	hydroxybutyryl-coA dehydrogenase
PWY-7495	2.4.1.237	gossypetin 7-<i>O</i>-glucosyltransferase
PWY-7495	1.14.99.-	quercetin 8-<i>O</i>-hydroxylase
PWY-6470	2.4.1.129	peptidoglycan glycosyltransferase
PWY-6471	2.4.1.129	peptidoglycan glycosyltransferase
PWY-5265	2.4.1.129	peptidoglycan glycosyltransferase
PWY-5443	2.7.1.177	L-threonine kinase
PWY-6836	4.2.3.81	santalene synthase
PWY-6243	4.2.3.81	santalene synthase
PWY-6585	4.1.1.56	3-oxo-myristate decarboxylase
PWY-5439	1.10.3.-	dopamine oxidase
CO2FORM-PWY	2.1.1.90	methanol:MtaC protein Co-methyltransferase
PWY-6558	2.8.2.8	heparan sulfate <i>N</i>-sulfotransferase
PWY-5274	1.8.2.3	sulfide dehydrogenase
PWY-5272	2.4.1.263	abscisic acid glucosyltransferase
PWYG-321	2.3.1.179	cis,cis-delta13,31-C50:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.256	&alpha;-1,2 glucosyltransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.265	(glucosyl)-(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol glucosyltransferase
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	2.4.1.267	(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol glucosyltransferase
PWY-7032	6.2.1.20	long-chain-fatty-acid&mdash;[acyl-carrier-protein] ligase
PWY-7377	3.7.1.12	cobalt-precorrin 5A hydrolase
PWY-6708	1.14.-.-	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase
PWY-5870	1.14.-.-	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase
PWY-5874	1.3.1.24	biliverdin reductase
GLUTORN-PWY	3.5.1.16	acetylornithine deacetylase
PWY-842	3.2.1.20	alpha-glucosidase
PWY-6713	1.1.1.173	(NAD<sup>+</sup>) L-rhamnofuranose 1-dehydrogenase
PWY-6714	1.1.1.173	(NAD<sup>+</sup>) L-rhamnofuranose 1-dehydrogenase
PWY-6809	5.3.99.9	neoxanthin synthase
PWY-695	5.3.99.9	neoxanthin synthase
PWY-6457	6.2.1.-	cinnamate:CoA ligase
PWY0-1348	1.8.5.3	dimethyl sulfoxide reductase
PWY0-1356	1.8.5.3	dimethyl sulfoxide reductase
PWY-5943	5.5.1.19	&gamma;-carotene &beta;-cyclase
PWY-6824	1.3.1.-	(+)-pinoresinol/(-)-lariciresinol reductase
PWY-282	4.1.99.5	fatty aldehyde decarbonylase
PWY-5320	2.4.1.239	flavonol 3-<i>O</i>-glucoside glucosyltransferase
